registration_no,subject_content,action_name,date_of_action,org_name,org_name2,remarks,id
CBODT/E/2019/08251  ,Dear sir The assessee is entitle to a refund of Rs. ****/- and Rs. ****/- for the Assessment Years ****-** and ****-**.You are requested to issue the refund for the above relevant Assessment Years.The bank details for the assessee are as follows:-State Bank of India A/c No: ***********IFSC Code: SBIN*******.In view of the above facts and circumstances of the case your honor is requested to kindly issue refund for the above assessment year along with statutory interest u/s ***A of the I.T.Act **** at the earliest and oblige.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,CHIEF COMMISSIONER OF INCOME TAX KOLKATA,"Commissioner of Income Tax, Kolkata-15",** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट पीजी पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।It is requested that the matter may kindly be examined URGENTLY and the grievance may be redressed within the time limit of ** days and FINAL ACTION TAKEN REPORT should be uploaded strictly within such time. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal within such time. Kindly upload the final report along with documentary evidence on redressal of grievance. ,1934
CBODT/E/2019/08252  ,*.Kavitha (PAN No  AZDPK****E)  *.Batrachalam  (Pan No AZIPB****E) *.Baskaran (Aadhaar No. **** **** **** ) and *.Ramesh (Aadhaar No. **** **** **** ) acted as Benamies to Viswanathan (Pan No. ADIPV****K)  and others . Kavitha is just a house wife and Bhatrachalam is a retired Police Constable  rest Baskaran and Ramesh are basic salaried workers. The said Viswanathan purchased land to the extent *.** acres in the name  of the above four persons for mere ** lakhs and transfered it to his name  for  value Rs. ** lakhs in the year ****. Immediately in a span of two months he sold it to  a foundation  for * crores and ** lakhs  Doc no. **** of ****  registered at Vanur Sub registrar office Tamilnadu.Later dispute arise between the Auroville Foundation and Viswanathan. The Buyer demanded the money back along with entire sale value stamp charges Registration charges and broker expenses. But Mr. Viswanathan denied the buyers demand and told  right now money was spent unable to pay back. A FIR was also filed by Villupuram Police Station  Tamilnadu against Mr.Viswanathan. He has strong political support   and background.Also doing money lending business and unauthorised chits fund  Business.Mr.Viswanathan hails from Anna Nagar Nellitope  constituency Puducherry.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,CHIEF COMMISSIONER OF INCOME TAX  CHENNAI,DIRECTOR GENERAL OF INCOME TAX INV. CHENNAI,The grievance has been forwarded to the Officer concerned.,1935
CBODT/E/2019/08253  ,Respected Sir   I had filled my Income tax return for the A.Y. ****-** on **.**.**** with claiming refund of Rs. *****/-.  The refund order had also been issued and  it is returned with the remark that no such  address found or exists.  But the Address mentioned while filing ITR is in order and correct.  So Kindly re issue the refund order.,TAKEN UP WITH SUBORDINATE ORGANISATION,26-04-19,RANGE2,ITO WARD 2 4 JAIPUR, kindly look into the matter and send action taken report within *days,1936
CBODT/E/2019/08254  ,FOR THE AY ****-** REFUND OF RS ****/- HAS BEEN RECEIVED  INSTEAD OF RS *****/- AFTER ADJUSTMENT AGAINST THE OUTSTANDING DEMAND OF AY ****-** BUT IN THE MATTER IT IS SUBMITTED THAT THE DEMAND FOR THE AY ****-** HAS BEEN RECTIFIED WITH REFERENCE TO OUR GRIEVANCE DATED **/**/**** AS THE DEMAND FOR THE AY ****-** HAS BEEN ALREADY RECTIFIED THERE IS NO QUESTION OF ADJUSTMENT OF REFUND.  KINDLY ISSUE THE THE BALANCE AMOUNT OF REFUND AMOUNTING TO RS ****/- FOR THE AY ****-** AT EARLIEST. COPY OF GRIEVANCE RESOLUTION ORDER HAS BEEN ATTACHED FOR YOUR PERUSAL.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1938
CBODT/E/2019/08255  ,Dear Sir/MadamI had filed my Income Tax Return For the A.Y. ****-** with claiming refund Rs. ***** on **.**.****. As per last resolved query  by CPGRAM it was mentioned that mailing Address and Bank Account No. is not correct.  But the address and Bank Account no. mentioned while fiiling ITR is correct and in order.  so Kindly re issue the refund order at the earliest.  thanking you.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1940
CBODT/E/2019/08256  ,NAME :- DHARMENDRA DHATRAKPAN NUMBER ABYPD****GI HAVE APPLIED FOR PAN CORRECTION ON NSDL WEBSITE  TRANSACTION WAS NOT SUCCESS  TILL  DATE MY MONEY DEBITED FROM MY ACCOUNT IS NOT REFUNDED  PLEASE SEE THE DETAILS AS PER BELOW:-DHARMENDRA DHATRAK G AND SOMA DHATRAK  SB ACCOUNT NO. ****-********-********-Apr-**** **-Apr-**** NSDLPAN Mumbai Terminal Id : BDR***** ****** RRN:************      ***.**PLEASE INSTRUCT NSDL MUMBAI TO REFUND THE MONEY IN MY SB ACCOUNT.THERE IS NO COMMUNICATION OF TRANSACTION FAILURE IN MY E MAIL ID.SO CALLOUS ATTITUDE OF THIS DEPT. THEY DONOT THINK THAT IT IS THEIR DUTY TO SEND E MAIL AND INFORMDHARMENDRA DHATRAK**********  **********,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1942
CBODT/E/2019/08257  ,AY **** and AY ****  undue  demands may please be rectified so that I can have the refunds adjusted against the wrong demand.,TAKEN UP WITH SUBORDINATE ORGANISATION,26-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1943
CBODT/E/2019/08259  ,THIRD REMINDERTHIS IS TO INFORM YOU THAT WE HAVE NOT RECEIVED REFUND FOR A.Y. ****-**. THE RETURN WAS FILED ON **/**/**** AND STILL IT IS UNDER PROCESS. PLEASE PROCESS THE RETURN. WE HAVE FILED SO MANY GRIEVANCES IN LAST * MONTHS. BUT THERE IS NO SATISFACTORY RESPONSE. IN EVERY GRIEVANCE THE RESPONSE IS -THAT YOUR RETURN IS UNDER PROCESS. PLEASE GIVE US REASONABLE ASSURANCE AS TO WITHIN HOW MUCH TIME THE RETURN WILL BE PROCESSED AND REFUND WILL BE PROVIDED TO US.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1945
CBODT/E/2019/08260  ,ASSESSEE HAS RECEIVED INTIMATION UNDER S ECTION ***(*) FOR A.Y. ****-** FOR CREDI T OF T.D.S OF RS. ***** IS NOT GIVEN. ATTACHED **AS REFLECTING THIS T.D.S. AMOU NT. FURTHER ASSESSEE HAS PAID REGULAR AS SESSMENT TAX OF RS. *****/- ON **.**.****.THEREFORE WE REQUEST YOU TO KINDLY RE CTIFY THE SAME AND AFTER RECTIFICATION A SSESSEE IS ENTITLED TO A REFUND OF RS.* ****/-.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1947
CBODT/E/2019/08261  ,Dear sir/Madam The assessee is entitled to a refund of Rs. *****/- Rs.*****/- and Rs.****/- for the Assessment Years relating ****-******-** and ****-**.The ITR acknowledgement no. are as follows****-**- *******************-**- *******************-**- ***************You are requested to issue the refund for the above Assessment Years.The bank details for the assessee are as follows:-State Bank of IndiaA/c No: ***********IFSC Code: SBIN*******In view of the above facts and circumstances of the case your honour is requested to kindly issue refund for the above assessment year along with statutory interest u/s ***A of the I.T.Act **** at the earliest and oblige.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1949
CBODT/E/2019/08262  ,link our adhar ************ to Our Pan ASVPD****K,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1951
CBODT/E/2019/08263  ,Refund of AY ****-** for the above mentioned PAN is pending after following up various time with authority also still we have not received that refund kindly look into this matter asap.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,Chief Commissioner of Income Tax 9,Pr Commissioner of Income Tax 25, As per PAN database the jurisdiction over the case lies with ITO. **(*)(*) Mumbai. The grievance should be redressed within the time limit of ** days and an Interim Report should be uploaded within * days i.e. by **.**.****.,1952
CBODT/E/2019/08264  ,In the same matter the Income tax department has raised a demand wide no **** **** **** **** ***T which was rectified by the income tax department itself by order dated **/**/**** however the same is not updated in the system and thereby the demand is racked up again and after  the actual demand is Rs.******/- the order of the rectification has been enclosed. we request for immediate reduction in the demand.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,JOINT CIT RANGE 4 2 AHMEDABAD,INCOME TAX OFFICE AHMEDABAD, ,1954
CBODT/E/2019/08265  ,"In this case the refund / demand was determined by passing order u/s ***D(*) for the AY ****-** to ****-** as on **/**/****. The summary of said order are furnished as under-Asst. Years	Amount	Refund / Demand  AY **-**  	******	Refund  AY **-**  	******	Refund  AY **-**  	******	Refund  AY **-**  	*******	Refund  AY **-**  	*******	Refund  AY **-**  	*******	Refund  AY **-**	*******	DemandHowever till dated since the passing of assing order u/s ***D(*) for the AY ****-** to ****-** as on **/**/**** the assessee has not received any refund.In view of above facts it is requested to please issue the refund as soon as possible.",TAKEN UP WITH SUBORDINATE ORGANISATION,17-05-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR,  Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1955
CBODT/E/2019/08266  ,RETURN OF INCOME FOR THE ASST.YEAR ****-** WAS FILED WITH NIL DEMAND. HOWEVER THE CPC HAS INTIMATED A DEMAND OF RS.*****/- FOR THE ABOVE YEAR. RECTIFICATION PETITION ALONG WITH COPY OF TDS CERTIFICATE HAS ALREADY FILED WITH THE ITO WARD-*(*) CUTTACK WHICH HAS NOT BEEN RECTIFIED TILL DATE. THE CPC HAS NOT ISSUED REFUND FOR THE ASST.YEAR ****-** CLAIMED OF RS.*****/- AND PERHAPS ADJUSTED AGAINST THE DEMAND FOR THE ASST.YEAR ****-**. KINDLY RECTIFY THE ORDER FOR THE ASST.YEAR ****-**. TAX HAS ALREADY BEEN DEDUCTED AND PAID BY MY DDO(PRINCIPAL MHD MAHAVIDYALAYA CHHATIA). PLEASE ISSUE THE REFUND AT THE EARLIEST.,TAKEN UP WITH SUBORDINATE ORGANISATION,24-04-19,"Pr. Chief Commissioner of Income Tax, Bhubaneswar",INCOME TAX DEPARTMENT, ,1956
CBODT/E/2019/08267  ,we request for kindly granting the credit of the tax paid by us of Rs.*****/- and also please update the demand ID accordingly to an amount of Rs.*.** lakhs and not Rs.* LAKHS as being informed to the banks. Hope your office may understand.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,JOINT CIT RANGE 4 2 AHMEDABAD,INCOME TAX OFFICE AHMEDABAD, Plz take necessary action and redress the grievance at the earliest.,1958
CBODT/E/2019/08268  ,Respected sir your office has an income tax payable of my father which he is slowly and gradually clearing and there was a rectification which was also pending at your end to be uploaded now sir HOW CAN YOU ATTACH MY ACCOUNT FOR THE INCOME TAX PAYABLE OF MY FATHER. Sir you have attached my bank account with Indus Ind Bank no ************ in which I have given POA to my father as I live in Australia. Therefore I request you to please release my account which is illegal action done by you. My account no  is mentioned above and has no connection with my father. ALSO YOUR ACTION HAVE HINDERED MY BUSINESS AND I CAN SUE YOU IN COURT.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,JOINT CIT RANGE 4 2 AHMEDABAD,INCOME TAX OFFICE AHMEDABAD, Please take necessary action and redress the grievance at the earliest.,1960
CBODT/E/2019/08269  ,I Have not recieved the TDS Credit of Rs **** pertaining to AY ****-** even though the TDS Credit is being reflecting in **AS ( TAN No. PNET ***** A) . We have filed rectification return u/s *** on **/**/**** at that time also TDS Credit of the same was reflecting in **AS . I have also filed the grievance on **/**/**** for the same and it was closed with out refund being issued from department.Request you to process the refund without any further delay.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1961
CBODT/E/2019/08270  ,We would like to bring to your kind notice that the company had filed its income tax return under everificationvide Acknowledgement No *************** in which a refund of Rs. ******** wasclaimed. No proceedings under the provisions of I.Tax Act as on date are pending against thecompany nor any demand is outstanding. The company is passing through severe financial crisisand is in dire need of finances to be able to survive. It is humbly requested that you may kindly lookinto the matter urgently and direct CPC Bangalore to issue the refund alongwith the interest at theearliest. We would like to bring to your kind notice that the company had filed e-grievance withCPC Bangalore five times on which no action has been taken till date,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1962
CBODT/E/2019/08271  ,Dear Sir I had filed my ITR On **.**.**** and rectification on **.**.**** for AY ****-**. I had claimed a refund of Rs * thousand only because my Income was non taxable. My refund was not paid on the grounds that TDS deducted from my income and deposited into Government account does not reflect into Government records. I have checked the fact through TRACES and found  that an amount of Rs * thousand has been deducted from my Income by Advancetech Engineering Pvt. Ltd. ( TAN- DELA*****D) and it has been paid to Government account also. May be when the Assessment officer passed the Assessment order  the TDS credit was not reflecting in the Government records because it was deposited late. But at the time of rectification filing it was certainly reflecting in FORM **AS. I request you to instruct the Income Tax Department to refund me Rs * thousand at the earliest because the amount has been paid to Government which can be verified through form **AS on TRACES. Best regards Sanjay Kumar Jha.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1963
CBODT/E/2019/08272  ,Circle- * (*) (*) International TaxationCivic Centre New DelhiReg: Umindra Kumar Bewtra (PAN- ADGPB****A)Sub: Issue of Refund amounting Rs. *****/- FOR AY ****-** Deletion of demand of AY ****-** adjusted with refund of AY ****-** Rectification U/s. *** of the Income Tax Act ****Sir                                      Please refer to the above mentioned subject and all the attached files. This is in regards to the Income Tax Refund amounting Rs. *****/- for AY ****-**. The assessee filed his Return of Income for the Assessment Year ****-** declaring Net Income at Rs. ******/-  Various reminder applications have been submitted before the jurisdictional Income Tax deptt to release the refund due copy of which are attached for your reference. The reminder applications are dated as follows:-- **th May ****- **th Nov ****- **th Nov ****- **th Jan ****- **th Jan ****Please do refer the attached file as well. It is therefore requested that same may kindly be rectified interest charged may be deleted and refund of Rs. *****/- be issued to the assessee along with interest till the date of payment at the earliest.Thanking you  Yours faithfullyMAYANK SHARMA(CHARTERED ACCOUNTANT) Enclosures-*. Reminder Letter- **th Jan *****. Reminder Letter- **th Jan *****. Reminder Letter- **th Nov *****. Reminder letter- **th Nov *****. Reminder letter- **th May *****. Intimation U/s ***(*) of Income Tax Act *****. ITR ACKNOWLEDGEMENT AY **** ***. DTAA with UK (Interest Income)All files merged in a single PDF,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,CIT INTERNATIONAL 1 DELHI,INTERNATIONAL TAXATION RANGE 11, Kindly look into the matter and redress the grievance at the earliest.,1966
CBODT/E/2019/08273  ,I am unable to file ITR due to someone unauthentically used my Pan card details and linked their Aadhar card with my Pan card No:-BIJPK****B and also he has filed ITR (E-filingAcknowledgement Number: - ***************) with false information. There is no option to link again my original Aadhar details with Pan Card on ITR portal.Kindly De-Link Existing Aadhar Card from my PAN Card.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1967
CBODT/E/2019/08274  ,Circle- * (*) (*) International TaxationNew DelhiReg: Umindra Kumar Bewtra (PAN- ADGPB****A)Sub: Issue of Refund of Rs. *****/- along with interest for the Assessment Year ****-**Maam/Sir                                      The above assessee filed Return of Income for the AY ****-** on **th July **** (copy of ITR acknowledgement enclosed) claiming refund of Rs. *****/-. The assesee has not yet received the refund till date. You are thereby requested to issue refund of Rs. *****/- along with Interest as per law till the date of payment at your earliest.Bank details of the assessee are as follows:BANK NAME- HSBC A/C NUMBER- ************IFSC- HSBC*******Alternatively the cheque may be sent to the following address- B-** SAGAR APARTMENTS * TILAK MARG NEW DELHI-******Thanking you  Yours faithfullyMAYANK SHARMA(CHARTERED ACCOUNTANT),TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,CIT INTERNATIONAL 1 DELHI,INTERNATIONAL TAXATION RANGE 11, Kindly look into the matter and redress the grievance at the earliest.,1970
CBODT/E/2019/08275  ,I HAVE NOT RECEIVED MY PAN CARD YET.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1971
CBODT/E/2019/08276  ,I Jai bhagwan governmnet employee in indian army presently posted at rajorri sector jammu and kashmir request you transfer my pan jurisdiction in ward no. * near minerva cinema sonepat because it is not feasible to deal with pan related matters from ward no.* digboi assam as i am posted in jammu and kashmir and my permananent residence is in gohana i.e wardno. ** chopra colony gohana haryana. I have also send e greivence on e filing portal where status is shown resolved but pan is not transferred yet. I havs also lodge compalint on this same portal earlier. I am facing many problems due to my pan jurisdiction of assam. So its a humble request to you please transfer my pan jurisdiction in ward no. * near minerva cinema sonepat who is assessing officer to me. Thanks,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX GUWAHATI," ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	/	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ",1972
CBODT/E/2019/08277  ,Dear Madam/SirKalindee VNC JV filed the ITR for AY ****-** on **.**.**** vide acknowledgement no. *************** and AO assessed the case on **.**.****We have requested several time to assessing officer for refund of TDS for AY ****-** vide letter dated **.**.**** **.**.**** and **.**.**** (Copy enclosed) but till date we have not yet received any TDS Refund for the AY ****-**.Now request you to please look into this matter and help us to get the amount as we have no funds to pay salary vendor payment and other dues,TAKEN UP WITH SUBORDINATE ORGANISATION,24-04-19,Pr.Commissioner of Income tax Gurgaon,RANGE 2 GURGAON, Please look into the matter and take action immediately.,1973
CBODT/E/2019/08278  ,SIRITO WARD * BARMERI HAVE TAKEN A PAN NO - AYAPS****J F OR WHICH I HAVE BEEN FILLING INCOME TAX RETURNS CONTINUOUSLY. BUT I LOST MY PANCARD AND DUE TO LACK OF KNOWLEDGE I HAVE BEEN ISSUED ANOTHER PAN NO BY INCOME TA X DEPARTMENT THAT IS DYKPS****QWHICH WA S NOT USED BY ME ANYWHERE. WHEN I KNEW A BOUT IT I APPLIED FOR CANCELLATION OF MY NEW PAN NO IN THE INCOMETAX DEPARTMENT DATED **.**.****. BUT EVEN AFTER * MONT HS MY NEW PAN NO HAS NOT BEEN CANCELLED BY INCOME TAXDEPARTMENT WARD * BARMER. SINCE I HAVE TO APPLY FOR MY ORIGINAL PA N CARD THIS NEW PAN NO CANCELLATION IS N ECESSARY.THEREFORE ITS MY GENTLE REQUES T TO CANCEL MY NEW PAN NO - DYKPS****Q S O THAT I CAN APPLY FOR MY ORIGINAL PAN CARD,TAKEN UP WITH SUBORDINATE ORGANISATION,25-04-19,Addl. Commissioner of Income tax Range 2 Alwar,INCOME TAX OFFICER WARD 21 ALWAR, Please look into the matter and submit final status report immediately.,1975
CBODT/E/2019/08279  ,Our client has receiverd your intimation r.r/s ***(*) of Inoome Tax Act **** dated **/******* for the Assessment Year ****-Ll in which refund of Rs. ****** was due. However refund of Rs. *******- has been received after radjusting Rs.******/- Rs.*****/- andRs.*****/-against arrears for the A.Y **** -** ****-** and A.Y. ****-** respectively.For Assessment Year ****-** Refund of Rs.*****/-- and Interest of Rs.****/--u/ s***(*) of the Income Tax Act **** is adjusted against demand for the A. Y. ****-**. However Rs.*****/- is already been paid by our client. Copy of challan paid of Rs.******- is attached for your reference.For Assessment Year ****-**  Refund of Rs.*****/- and lnterest of Rs. ****/- u/s ***(*) of the Income Tax Act **** is adjusted against demand for the A.Y. ****-**. However Rs.*****/- is already been paid by our client. Copy of challan paid of Rs.*****/- is attached for your reference.For Assessment Year ****-** Refund of Rs.*****/- and Interest of Rs.***/- u/s ***(*) of the Income Tax Act **** is adjusted against demand for the A.Y. ****-**. However we would like to state that as per Return of Income filed refund of Rs. *****/- was due. TDS of Rs. *****/- was clairned in the Return of Income and credit of the same is not given If the credit of Rs. *****/- would be granted then there will not be any demand outstanding for the A.Y. ****-**.We are attaching herewith the following for your reference:*) Intimation r/s ***(l) of the lncome Tax Act **** for the A Y ****-***) Copy of challan for the A.Y. ****-** for Rs.** ***/-.*) Copy of challan for the AY **-** for Rs.** ***/-.*) Acknowledgement of Income tax return for AY ****-** along with for theComputation of Total Income*) Copy of TDS Certificate for Rs.*****/-*) Cancelled Cheque of Canara BankWe request you to kindly take the above on your record and issue complete refund for AY ****-** and Balance Refund of Rs ******/- for AY ****-** at the earliest.,TAKEN UP WITH SUBORDINATE ORGANISATION,23-04-19,ADDL CIT 24 3,ACIT 24 3,  Please look into the grievance of the assessee and take necessary remedial action at the earliest. ,1976
CBODT/E/2019/08280  ,.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1977
CBODT/E/2019/08281  ,Subject: Grievance regarding Income tax Refund for the A.Y ****-**** in the case of Bedi Ajay Singh PAN No. DIDPS****LThe assessee Bedi Ajay Singh (Pan No. DIDPS****L) has filled its Income tax return for the Financial Year ****-**** relevant to A.Y ****-** on **.**.**** declaring  total income of Rs. *******/- and claiming a refund of Rs. *******/- in his Income tax return. The residential status of assessee is Non Resident.Sir he has not received his income tax refund of Rs. *******/- which is legitimately due to him.Your goodself are requested to kindly direct the concerned authority to release the income tax refund for the A.Y **-** as soon as possible.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1978
CBODT/E/2019/08282  ,"The assessee has filed rectification letter dated **.**.**** for A.Y. ****-** with The Dy. Commissioner of Income Tax Circle - *(*)(*) Ahmedabad. The extracts of the same is reproduced as under:-*.	The assessee company had filed the return of income on **.**.**** for A.Y.****-** declaring total income of Rs.********/-. Substantial additions were made while completing the assessment determining the total income at Rs.********/-. The Hon. ITAT has adjudicated the appeal of the assessee and set aside on certain issues back to the file of the AO. The AO also completed the assessment thereafter and the copy of the appeal effect order dated **.**.**** is herewith enclosed wherein the income has been determined at Rs.********/-. In the mean time the assessee had also paid Rs.******/- and credit of the same has not been granted while determining the total tax payable. Copy of challan is also placed on record from where this fact can be cross verified. *.	We have earlier also filed a rectification application u/s. *** of the Act on **.**.**** and the same has not been disposed of. Copy of the same is enclosed for your kind reference.  We would therefore request you to kindly grant the credit of Rs.******/- and dispose of the rectification application made earlier.",TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,INCOME TAX OFFICE,Income Tax Department, The AO is presently away on election duty. He is directed to redress the grievance of the assessee within the stipulated timeline.,1982
CBODT/E/2019/08283  ,The assessee has filed rectification letter dated **.**.**** for A.Y. ****-** with The Dy. Commissioner of Income Tax Circle - *(*)(*) Ahmedabad. The extracts of the same is reproduced as under:-The assessee company had filed the return of income for A.Y.****-** on **.**.**** declaring total income of Rs.********/-.  The assessment came to be completed u/s ***(*) of the Act determining the total income at Rs.********/-.  While completing the assessment the following additions were made:i. Disallowance u/s **A of the Act Rs. ****ii. Disallowance of car depreciation & motor car expenses Rs.*******iii. Interest disallowance Rs.********. The matter has already been decided by the Hon. ITAT in ITA No. ****/Ahd/****. The copy of the aforesaid order is enclosed for your kind reference. The disallowance u/s **A of the Act of Rs.****/- has been deleted (refer Para * and page * of the order). The issue regarding the disallowance of motor car depreciation and motor car expenses of Rs.*******/- has also been decided in the favor of the assessee (refer Para * and page * of the order). With regards the interest disallowance of Rs.*******/- the Ld. CIT(A) had granted relief of Rs.******/- and addition of Rs.*******/- had come to be confirmed. Cross appeals had been filed with regards the aforesaid issue and the assessee appeal challenging the disallowance of interest of Rs.*******/- had come to be accepted (refer Para ** and page * of the order). Similarly the departmental appeal agitating the disallowance of interest to the extent of Rs.******/- has come to be dismissed (refer Para ** and page * & * of the order). *. In view of the same the income to the assessee company stands reduced to the returned income and no demand exists. The Income Tax portal discloses online demand of Rs.*******/- which is only on account of non passing of appeal effect order. It is therefore requested that the appeal effect order may kindly be passed at the earliest and the demand be reduced and CPC be intimated.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,INCOME TAX OFFICE,Income Tax Department, The AO is presently away on election duty. He is directed to redress the grievance of the assessee within the stipulated timeline.,1986
CBODT/E/2019/08284  ,The assessee has filed rectification letter dated **.**.**** for A.Y. ****-** with The Dy. Commissioner of Income Tax Circle - *(*)(*) Ahmedabad. The extracts of the same is reproduced as under:-The online demand of the Income Tax portal discloses an outstanding demand of Rs.*******/-. We have filed a rectification application on **.**.**** on account of credit of taxes paid not having been granted. Copy of the rectification application so filed earlier is also enclosed for your kind reference. None granting of credit of the taxes paid is a mistake apparent from record which necessitates rectification proceedings. It is therefore once again requested to dispose of our rectification application at the earliest and reduced the demand so raised against us.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,INCOME TAX OFFICE,Income Tax Department, The AO is presently away on election duty. He is directed to redress the grievance of the assessee within the stipulated timeline.,1990
